a blacksmith shop	ᎦᏅᏆᎶᏍᎩᎢ	[ganv:gwa:lò:sgi̋:ʔi]  (single noun) /ced/
copperhead	ᏧᎦᏔᏥᏍᏓᏟ	[ju:ktají:sdahli]  (single noun) /ced/
copperhead	ᏧᎾᎦᏔᏥᏍᏓᏟ	[ju:naktají:sdahli]  (plural noun) /ced/
cork	ᏓᏬᎵᏳᏍᏗ	[dawó:liyű:sdi]  (single noun) /ced/
corn	ᏎᎷ	[sě:lu]  (single noun) /ced/
corn meal	ᏎᎷ ᎢᏌ	[sě:lu i:sa]  (single noun) /ced/
corncob	ᏎᎷ ᎤᏓ	[sě:lu u:da]  (single noun) /ced/
corncob	ᏎᎷ ᏧᏓ	[sě:lu ju:da]  (plural noun) /ced/
corner	ᎤᏅᏏᏴᎢ	[ù:hnv́:si:yv̋:ʔi]  (single noun) /ced/
corner	ᏚᏅᏏᏴᎢ	[dù:hnv́:si:yv̋:ʔi]  (plural noun) /ced/
cotton	ᎤᏥᎸᎢ	[u:ji:lv́:ʔi]  (single noun) /ced/
coughing	ᎤᏏᏩᏍᎦ	[ù:sihwásga]  (he is) (3rd/present continuous) /ced/
coughing	ᎠᎩᏏᏩᏍᎦ	[àksihwásga]  (he is) (1st/present continuous) /ced/
coughing	ᎤᏏᏩᎲᎢ	[ù:sihwahv̌:ʔi]  (he is) (3rd/remote past) /ced/
coughing	ᎤᏏᏩᏍᎪᎢ	[ù:sihwasgó:ʔi]  (he is) (3rd/habitual) /ced/
coughing	ᏥᏏᏩᎯ	[tsihwahi]  (he is) (2nd/immediate) /ced/
coughing	ᎤᏏᏩᎯᏍᏗ	[u:sihwahisdi]  (he is) (3rd/deverbal) /ced/
counting it or them	ᏓᏎᎯᎭ	[dà:sehíha]  (he is) (3rd/present continuous) /ced/
counting it or them	ᏕᎦᏎᎯᎭ	[de:gâ:sehíha]  (he is) (1st/present continuous) /ced/
counting it or them	ᏚᏎᏢᎢ	[dù:sehlv́:ʔi]  (he is) (3rd/remote past) /ced/
counting it or them	ᏓᏎᎯᎰᎢ	[da:sehíhó:ʔi]  (he is) (3rd/habitual) /ced/
counting it or them	ᏔᏎᎦ	[taséga]  (he is) (2nd/immediate) /ced/
counting it or them	ᏧᏎᏍᏗ	[ju:sésdi]  (he is) (3rd/deverbal) /ced/
courthouse	ᏗᏓᎯᎵᏓᏍᏗᎢ	[di:da:hiʔlǐ:dâ:sdi̋:ʔi]  (single noun) /ced/
courthouse	ᏧᎾᏓᎯᎵᏓᏍᏗᎢ	[ju:nada:hiʔlǐ:dâ:sdi̋:ʔi]  (single noun) /ced/
covering it	ᎫᏢᏍᎦ	[gú:hlvsga]  (he is) (3rd/present continuous) /ced/
covering it	ᎫᏢᏍᎦ	[gú:hlvsga]  (he is) (1st/present continuous) /ced/
covering it	ᎤᏭᏢᏅᎢ	[ù:wú:hlv̀:nv̌:ʔi]  (he is) (3rd/remote past) /ced/
covering it	ᎫᏢᏍᎪᎢ	[gú:hlvsgó:ʔi]  (he is) (3rd/habitual) /ced/
covering it	ᎱᏢᎥᎦ	[hù:hlvʔv̀:ga]  (he is) (2nd/immediate) /ced/
covering it	ᎤᏭᏢᏗ	[uwù:hlv̀:di]  (he is) (3rd/deverbal) /ced/
covers	ᏗᎿᏬᏍᏙᏗ	[di:hnawó:sdohdi]  (bed) (single noun) /ced/
cow	ᏩᎦ	[wahga]  (single noun) /ced/
cracking it	ᎬᏍᏆᎶᎠ	[gv:sgwaló:ʔa]  (he is) (3rd/present continuous) /ced/
cracking it	ᎬᏍᏆᎶᎠ	[gv̀:sgwaló:ʔa]  (he is) (1st/present continuous) /ced/
cracking it	ᎤᏩᏍᏆᎶᎥᎢ	[ù:wa:sgwaló:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
cracking it	ᎬᏍᏆᎶᏍᎪᎢ	[gv:sgwaló:sgó:ʔi]  (he is) (3rd/habitual) /ced/
cracking it	ᎲᏍᏆᎶᏣ	[hv:sgwalǒ:ja]  (he is) (2nd/immediate) /ced/
cracking it	ᎤᏩᏍᏆᎶᏍᏗ	[uwa:sgwalò:sdi]  (he is) (3rd/deverbal) /ced/
crawling	ᎠᏓᎾᏏᏂ	[à:dansǐ:ni]  (he is) (3rd/present continuous) /ced/
crawling	ᎦᏓᎾᏏᏂ	[gadanà:sǐ:ni]  (he is) (1st/present continuous) /ced/
crawling	ᎤᏓᎾᏏᏅᏒᎢ	[ù:dansǐ:nv̂:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
crawling	ᎠᏓᎾᏏᏁᎪᎢ	[à:dansǐ:nê:gô:ʔi]  (he is) (3rd/habitual) /ced/
crawling	ᎭᏓᎾᏏᏄᎦ	[hadansi:nù:ga]  (he is) (2nd/immediate) /ced/
crawling	ᎤᏓᎾᏏᏅᏍᏗ	[u:dansǐ:nv̂:sdi]  (he is) (3rd/deverbal) /ced/
crayfish	ᏥᏍᏛᎾ	[jí:sdv:na]  (single noun) /ced/
creator	ᎤᏁᏝᏅᎯ	[u:ně:hlánv:hi]  (single noun) /ced/
creator	ᎤᏁᏝᏅᎯ	[u:ně:hlánv̋:hi]  (single noun) /ced/
Creek	ᎠᎫᏌ	[Agǔ:sa]  (Indian) (single noun) /ced/
Creek	ᎠᏂᎫᏌ	[Ani:gǔ:sa]  (Indian) (plural noun) /ced/
creek	ᎤᏪᏴᎢ	[ù:wé:yv̋:ʔi]  (single noun) /ced/
creek	ᏚᏪᏴᎢ	[dù:wé:yv̋:ʔi]  (plural noun) /ced/
crippled	ᎠᏲᎤᏟ	[ayoʔű:hli] (adj/adv) /ced/
crippled	ᏗᏲᎤᏟ	[di:yoʔű:hli]  (plural adj/adv) /ced/
crisp	ᎤᏂᏍᏓᎦᏴᎯᏓ	[u:ni:sdagayv̌:hida]  (plural adj/adv) /ced/
crisp	ᏧᏍᏓᎦᏴᎯᏓ	[ju:sdagayv̌:hida]  (plural adj/adv) /ced/
crisp	ᎤᏍᏓᎦᏴᎯᏓ	[u:sdagayv̌:hida] (adj/adv) /ced/
crock	ᎦᏓᎫᎫ	[gǎ:dágù:gu]  (single noun) /ced/
crooked	ᎤᎾᏥᏈᏗ	[ǔ:natsgwidi]  (plural adj/adv) /ced/
crooked	ᏧᏥᏈᏗ	[jǔ:tsgwidi]  (plural adj/adv) /ced/
crooked	ᎤᏥᏈᏗ	[ǔ:tsgwidi] (adj/adv) /ced/
cross	ᏗᏓᎿᏫᏓ	[di:dá:hnà:wida]  (single noun) /ced/
cross	ᏧᏓᎿᏫᏓ	[ju:dá:hnà:wida]  (single noun) /ced/
crossing	ᏕᎦᎾᏗᏫᏍᎦ	[de:gánadíwsga]  (he is) (a road, bridge, etc.) (3rd/present continuous) /ced/
crossing	ᏕᏥᎾᏗᏫᏍᎦ	[de:jínadíwsga]  (he is) (a road, bridge, etc.) (1st/present continuous) /ced/
crossing	ᏚᎾᏗᏫᏒᎢ	[dù:nadíwsv̌:ʔi]  (he is) (a road, bridge, etc.) (3rd/remote past) /ced/
crossing	ᏕᎦᎾᏗᏫᏍᎪᎢ	[de:gánadíwsgó:ʔi]  (he is) (a road, bridge, etc.) (3rd/habitual) /ced/
crossing	ᏘᎾᏗᏫ	[tinádì:hwi]  (he is) (a road, bridge, etc.) (2nd/immediate) /ced/
crossing	ᏧᎾᏗᏫᏍᏗ	[ju:nadì:hwísdi]  (he is) (a road, bridge, etc.) (3rd/deverbal) /ced/
crossing it	ᏕᎦᏐᎦ	[de:gá:sóhga]  (he is) (a body of water) (3rd/present continuous) /ced/
crossing it	ᏕᏥᏐᎦ	[de:jî:sóhga]  (he is) (a body of water) (1st/present continuous) /ced/
crossing it	ᏚᏩᏐᏨᎢ	[dù:wa:sóhjv́:ʔi]  (he is) (a body of water) (3rd/remote past) /ced/
crossing it	ᏕᎦᏐᎪᎢ	[de:gá:sóhgóʔi]  (he is) (a body of water) (3rd/habitual) /ced/
crossing it	ᏘᏐᎩ	[ti:sóhgi]  (he is) (a body of water) (2nd/immediate) /ced/
crossing it	ᏧᏩᏐᎯᏍᏗ	[juwa:sóhísdi]  (he is) (a body of water) (3rd/deverbal) /ced/
crossroads	ᏓᏓᎿᏫᏍᏛᎢ ᏅᏃᎯ	[dà:da:hnâwsdv̋:ʔi nv:nǒ:hi]  (single noun) /ced/
crow	ᎪᎦ	[kó:ga]  (single noun) /ced/
crowbar	ᎨᏘᎶᏍᏗ	[ge:ti:lő:sdi]  (single noun) /ced/
crowbar	ᏗᎨᏘᎶᏍᏗ	[dige:ti:lő:sdi]  (plural noun) /ced/
crowing	ᎠᏰᎦ	[áyhga]  (it is) (rooster) (3rd/present continuous) /ced/
crowing	ᎦᏴᎦ	[gáyhga]  (it is) (rooster) (1st/present continuous) /ced/
crowing	ᎤᏴᎵᏒᎢ	[ú:yvlsv̌:ʔi]  (it is) (rooster) (3rd/remote past) /ced/
crowing	ᎠᏴᎪᎢ	[áyhgó:ʔi]  (it is) (rooster) (3rd/habitual) /ced/
crowing	ᎭᏴᎳ	[hà:yv̌:la]  (it is) (rooster) (2nd/immediate) /ced/
crowing	ᎤᏴᏟᏍᏗ	[ù:yv̌:hlísdi]  (it is) (rooster) (3rd/deverbal) /ced/
cruel	ᎤᏁᎫᏥᏓ	[u:ne:gú:jida] (adj/adv) /ced/
cruel	ᎤᏂᏁᎫᏥᏓ	[u:ni:ne:gú:jida]  (plural adj/adv) /ced/
crusher	ᎠᏍᏙᏍᎩᎢ	[asdò:sgi̋:ʔi]  (single noun) /ced/
crusher	ᏗᏍᏙᏍᎩᎢ	[di:sdò:sgi̋:ʔi]  (plural noun) /ced/
crushing it	ᎠᏍᏙᎠ	[à:sdó:ʔa]  (he is) (3rd/present continuous) /ced/
crushing it	ᏥᏍᏙᎠ	[jì:sdó:ʔa]  (he is) (1st/present continuous) /ced/
crushing it	ᎤᏍᏙᎥᎢ	[ù:sdó:ʔv̌:ʔi]  (he is) (3rd/remote past) /ced/
crushing it	ᎠᏍᏙᏍᎪᎢ	[à:sdó:sgó:ʔi]  (he is) (3rd/habitual) /ced/
crushing it	ᎯᏍᏙᏣ	[hisdǒ:ja]  (he is) (2nd/immediate) /ced/
crushing it	ᎤᏍᏙᏍᏗ	[u:sdò:sdi]  (he is) (3rd/deverbal) /ced/
crying	ᎠᏠᏱᎭ	[à:dlo:hyíha]  (he is) (3rd/present continuous) /ced/
crying	ᎦᏠᏱᎭ	[gadlò:yíha]  (he is) (1st/present continuous) /ced/
crying	ᎤᏠᏱᎸᎢ	[ù:dlo:hyílv̌:ʔi]  (he is) (3rd/remote past) /ced/
crying	ᎠᏠᏱᎰᎢ	[à:dlo:hyíhóʔi]  (he is) (3rd/habitual) /ced/
crying	ᎭᏠᏱᎦ	[hadloyhga]  (he is) (2nd/immediate) /ced/
crying	ᎤᏠᏱᏍᏗ	[u:dloysdi]  (he is) (3rd/deverbal) /ced/
cucumber	ᎦᎦᎹ	[gǎ:gáma]  (single noun) /ced/
curing	ᎯᏅᏮᎦ	[hì:nv:wv̀:ga] (in.)  (he is) (2nd/immediate) /ced/
curing	ᎯᏅᏮᎦ	[hihnv:wv̀:ga] (an.)  (he is) (2nd/immediate) /ced/
curing	ᎧᏅᏫᎠ	[kanv̌:wíʔa]  (he is) (3rd/present continuous) /ced/
curing	ᏥᏅᏫᎠ	[jì:nv̌:wíʔa]  (he is) (1st/present continuous) /ced/
curing	ᎤᏅᏩᏅᎢ	[ù:hnv̌:wâ:nv̌:ʔi]  (he is) (3rd/remote past) /ced/
curing	ᎧᏅᏫᏍᎪᎢ	[kanv̌:wî:sgó:ʔi]  (he is) (3rd/habitual) /ced/
curing	ᎤᏅᏬᏗ	[u:hnv̌:wô:di]  (he is) (3rd/deverbal) /ced/
curly	ᎤᎵᏥᏍᏆᏁᏓ	[u:li:jì:sgwa:ne̋:da] (adj/adv) /ced/
cursing	ᏘᏍᎩᎾᏓ	[tî:sgǐ:ná:da] (in.)  (he is) (2nd/immediate) /ced/
cursing	ᏘᏍᎩᎾᏓ	[tisgí:na:da] (an.)  (he is) (2nd/immediate) /ced/
cursing	ᏓᏍᎩᎾᏗᎠ	[dà:sgǐ:ná:diʔa]  (he is) (3rd/present continuous) /ced/
cursing	ᏕᏥᏍᎩᎾᏗᎠ	[de:jî:sgǐ:ná:diʔa]  (he is) (1st/present continuous) /ced/
cursing	ᏚᏍᎩᎾᏛᎢ	[dù:sgǐ:ná:dv̌:ʔi]  (he is) (3rd/remote past) /ced/
cursing	ᏓᏍᎩᎾᏗᏍᎪᎢ	[dà:sgǐ:ná:dì:sgó:ʔi]  (he is) (3rd/habitual) /ced/
cursing	ᏧᏍᎩᎾᏗᏍᏗ	[ju:sgǐ:ná:disdi]  (he is) (3rd/deverbal) /ced/
cursing him or it	ᏘᏍᎩᎾᏓ	[tî:sgǐ:ná:da] (in.)  (he is) (2nd/immediate) /ced/
cursing him or it	ᏘᏍᎩᎾᏓ	[tisgí:na:da] (an.)  (he is) (2nd/immediate) /ced/
cursing him or it	ᏓᏍᎩᎾᏗᎠ	[dà:sgǐ:ná:diʔa]  (he is) (3rd/present continuous) /ced/
cursing him or it	ᏕᏥᏍᎩᎾᏗᎠ	[de:jî:sgǐ:ná:diʔa]  (he is) (1st/present continuous) /ced/
cursing him or it	ᏚᏍᎩᎾᏛᎢ	[dù:sgǐ:ná:dv̌:ʔi]  (he is) (3rd/remote past) /ced/
cursing him or it	ᏓᏍᎩᎾᏗᏍᎪᎢ	[dà:sgǐ:ná:dì:sgó:ʔi]  (he is) (3rd/habitual) /ced/
cursing him or it	ᏧᏍᎩᎾᏗᏍᏗ	[ju:sgǐ:ná:disdi]  (he is) (3rd/deverbal) /ced/
curve	ᎠᏕᏲᎲᎢ	[à:dé:yohv̋:ʔi]  (single noun) /ced/
curve	ᏓᎠᏕᏲᎲᎢ	[dà:dé:yohv̋:ʔi]  (plural noun) /ced/
cute	ᎤᎬᎯᏍᏗ	[ǔ:kv̀:hisdi] (adj/adv) /ced/
cute	ᎤᏂᎬᎯᏍᏗ	[u:nǐ:kv̀:hisdi]  (plural adj/adv) /ced/
cutting a flexible object	ᎠᎦᎳᏍᎦ	[à:gâlsga]  (he is) (3rd/present continuous) /ced/
cutting a flexible object	ᏥᎦᎳᏍᎦ	[jigâlsga]  (he is) (1st/present continuous) /ced/
cutting a flexible object	ᎤᎦᎳᏒᎢ	[ù:gâlsv̌:ʔi]  (he is) (3rd/remote past) /ced/
cutting a flexible object	ᎠᎦᎵᏍᎪᎢ	[à:gâlsgó:ʔi]  (he is) (3rd/habitual) /ced/
cutting a flexible object	ᎯᎦᎳ	[higaʔla]  (he is) (2nd/immediate) /ced/
cutting a flexible object	ᎤᎦᎳᏍᏗ	[u:gàlsdi]  (he is) (3rd/deverbal) /ced/
cutting it	ᎠᎬᎭᎵᎭ	[à:gv:halíha]  (he is) (3rd/present continuous) /ced/
cutting it	ᏥᎬᎠᎵᎭ	[jigv:ʔalíha]  (he is) (1st/present continuous) /ced/
cutting it	ᎤᎬᎭᎸᎲᎢ	[ù:gv:halv:hv̌:ʔi]  (he is) (3rd/remote past) /ced/
cutting it	ᎠᎬᎭᎵᏍᎪᎢ	[à:gv:halǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
cutting it	ᎯᎬᎭᎳ	[higv:hala]  (he is) (2nd/immediate) /ced/
cutting it	ᎤᎬᎭᏟᏗ	[u:gv:hahldi]  (he is) (3rd/deverbal) /ced/
damp	ᏧᏃᏕᏫᏓ	[ju:no:dě:hwi̋:da]  (plural adj/adv) /ced/
damp	ᏧᏬᏕᏫᏓ	[juwo:dě:hwi̋:da]  (plural adj/adv) /ced/
damp	ᎤᏬᏕᏫᏓ	[uwo:dě:hwi̋:da] (adj/adv) /ced/
dancing	ᎠᎵᏍᎩᎠ	[àlsgí:ʔa]  (he is) (3rd/present continuous) /ced/
dancing	ᎦᎵᏍᎩᎠ	[galì:sgí:ʔa]  (he is) (1st/present continuous) /ced/
dancing	ᎤᎵᏍᎩᏒᎢ	[ùlsgí:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
dancing	ᎠᎵᏍᎩᏍᎪᎢ	[àlsgí:sgó:ʔi]  (he is) (3rd/habitual) /ced/
dancing	ᎭᎵᏍᎩ	[halsgi]  (he is) (2nd/immediate) /ced/
dancing	ᎤᎵᏍᎩᏍᏗ	[ulsgì:sdi]  (he is) (3rd/deverbal) /ced/
dangerous	ᎦᎾᏰᎩ	[gánayè:gi] (adj/adv) /ced/
dangerous	ᎠᏂᎾᏰᎩ	[anǐ:nayè:gi]  (plural adj/adv) /ced/
dark	ᎤᎾᎵᏏᎩ	[ǔ:nalsihgi]  (plural adj/adv) /ced/
dark	ᏧᎵᏏᎩ	[jǔlsihgi]  (plural adj/adv) /ced/
dark	ᎤᎵᏏᎦ	[ùlsíhga]  (it is) (3rd/present continuous) /ced/
dark	ᎤᎵᏏᎬᎢ	[ùlsíhgv́:ʔi]  (it is) (3rd/remote past) /ced/
dark	ᎤᎵᏏᎪᎢ	[ùlsíhgóʔi]  (it is) (3rd/habitual) /ced/
dark	ᏣᎵᏏᎨᏍᏗ	[jalsíhgê:sdi]  (it is) (2nd/future progressive) /ced/
dark	ᎤᎵᏏᎩ	[ǔlsihgi] (adj/adv) /ced/
dating	ᎠᎾᎵᎪᎲᏍᎦ	[à:nalí:go:hv́sga]  (they are) (when the dual form is used) (3rd/present continuous) /ced/
dating	ᎣᏣᎵᎪᎲᏍᎦ	[ò:jalí:go:hv́sga]  (they are) (when the dual form is used) (1st/present continuous) /ced/
dating	ᎤᎾᎵᎪᏅᎢ	[ù:nalí:go:hnv̌:ʔi]  (they are) (when the dual form is used) (3rd/remote past) /ced/
dating	ᎠᎾᎵᎪᎲᏍᎪᎢ	[à:nalí:go:hvsgó:ʔi]  (they are) (when the dual form is used) (3rd/habitual) /ced/
dating	ᎢᏣᎵᎪᎲᎦ	[ì:jalì:go:hv̀:ga]  (they are) (when the dual form is used) (2nd/immediate) /ced/
dating	ᎤᎾᎵᎪᏗ	[u:nalì:kdi]  (they are) (when the dual form is used) (3rd/deverbal) /ced/
daughter	ᎤᏪᏥ ᎠᎨᏯ	[uwě:ji agě:hya]  (his) (adult) (single noun) /ced/
daughter	ᏧᏪᏥ ᎠᏂᎨᏯ	[juwě:ji ani:gě:hya]  (his) (adult) (plural noun) /ced/
daughter	ᎤᏪᏥ ᎠᎨᏳᏣ	[uwě:ji age:hyű:ja]  (his) (child) (single noun) /ced/
daughter	ᏧᏪᏥ ᎠᏂᎨᏳᏣ	[juwě:ji ani:ge:hyű:ja]  (his) (child) (plural noun) /ced/
dawn	ᎤᎩᏥᏕᏱ	[u:gitsde̋:yi]  (single noun) /ced/
day	ᎢᎦ	[i:ga]  (single noun) /ced/
days	ᏧᏒᎯᏓ	[ju:sv̌:hida]  (single noun) /ced/
deacon	ᎠᏯᏙᎯᎯ	[áyà:tohihi]  (single noun) /ced/
deacon	ᎠᏂᏯᏙᎯᎯ	[anǐ:yà:tohihi]  (plural noun) /ced/
dead	ᎤᎵᏬᏨᎢ	[u:li:hwò:jv̋:ʔi] (adj/adv)  (non-human) /ced/
dead	ᏧᏂᎵᏬᏨᎢ	[ju:ni:li:hwò:jv̋:ʔi]  (non-human) (plural adj/adv) /ced/
dead	ᎤᏲᎱᏒᎢ	[u:yo:hu:sv̋:ʔi] (adj/adv)  (human) /ced/
dead	ᏧᏂᏲᎱᏒᎢ	[ju:ni:yo:hu:sv̋:ʔi]  (human) (plural adj/adv) /ced/
deaf	ᏧᎵᎡᎾ	[ju:liʔe̋:na] (adj/adv) /ced/
deaf	ᏧᏂᎵᎡᎾ	[ju:ni:liʔe̋:na]  (plural adj/adv) /ced/
death	ᎠᏲᎱᎯᏍᏗ	[ayo:hu:hisdi]  (single noun) /ced/
decaying	ᎤᎪᏍᎦ	[ù:go:sga]  (it is) (3rd/present continuous) /ced/
decaying	ᎠᎩᎪᏍᎦ	[à:gigo:sga]  (it is) (1st/present continuous) /ced/
decaying	ᎤᎪᏒᎢ	[ù:go:sv̌:ʔi]  (it is) (3rd/remote past) /ced/
decaying	ᎤᎪᏍᎪᎢ	[ù:go:sgó:ʔi]  (it is) (3rd/habitual) /ced/
decaying	ᏣᎪᎯ	[jagǒ:hi]  (it is) (2nd/immediate) /ced/
decaying	ᎤᎪᎯᏍᏗ	[u:go:hisdi]  (it is) (3rd/deverbal) /ced/
deceiving him	ᎦᎶᎾᏍᏗᎭ	[galo:nâ:sdiha]  (he is) (3rd/present continuous) /ced/
deceiving him	ᏥᎶᎾᏍᏗᎭ	[ji:lo:nâ:sdiha]  (he is) (1st/present continuous) /ced/
deceiving him	ᎤᎶᎾᏍᏔᏅᎢ	[ù:lo:nâ:stanv̌:ʔi]  (he is) (3rd/remote past) /ced/
deceiving him	ᎦᎶᎾᏍᏗᏍᎪᎢ	[galo:nâ:sdi:sgó:ʔi]  (he is) (3rd/habitual) /ced/
deceiving him	ᎯᎶᎾᏍᏓ	[hi:lo:nà:sda]  (he is) (2nd/immediate) /ced/
deceiving him	ᎤᎶᎾᏍᏙᏗ	[u:lo:nà:sdóhdi]  (he is) (3rd/deverbal) /ced/
December	ᎥᏍᎩᏱ	[V̌:sgíhyi]  (single noun) /ced/
deciding	ᏕᎫᎪᏗᎭ	[de:gú:kdíha]  (he is) (3rd/present continuous) /ced/
deciding	ᏕᎫᎪᏗᎭ	[de:gú:gò:díha]  (he is) (1st/present continuous) /ced/
deciding	ᏚᏭᎪᏔᏅᎢ	[dù:wu:ktánv́:ʔi]  (he is) (3rd/remote past) /ced/
deciding	ᏕᎫᎪᏗᏍᎪᎢ	[de:gú:kdǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
deciding	ᏚᎪᏓ	[tǔ:kda]  (he is) (2nd/immediate) /ced/
deciding	ᏧᏭᎪᏙᏗ	[juwu:kdóhdi]  (he is) (3rd/deverbal) /ced/
deer	ᎠᎭᏫ	[ahawi]  (single noun) /ced/
deer	ᎠᏫ	[ahwi]  (single noun) /ced/
Democrat	ᎤᎦᎾᏩ	[U:gǎ:nawa]  (single noun) /ced/
Democrat	ᎤᏂᎦᎾᏩ	[U:ni:gǎ:nawa]  (plural noun) /ced/
demon	ᎠᏍᎩᎾ	[asgǐ:na]  (single noun) /ced/
demon	ᎠᏂᏍᎩᎾ	[ani:sgǐ:na]  (plural noun) /ced/
dentures	ᏗᏓᏅᏙᏍᏗ	[dí:danhtosdi]  (single noun) /ced/
denying him or it	ᏥᏯᏓᏱᎭ	[ji:yadaʔyíha] (an.)  (he is) (1st/present continuous) /ced/
denying him or it	ᎦᏓᏱᎭ	[gadaʔyíha] (in.)  (he is) (1st/present continuous) /ced/
denying him or it	ᎯᏯᏓᏱᎦ	[hi:yadayì:ga] (in.)  (he is) (2nd/immediate) /ced/
denying him or it	ᎭᏓᏴᎦ	[ha:dayhga] (an.)  (he is) (2nd/immediate) /ced/
denying him or it	ᎠᏓᏱᎭ	[à:dahyíha]  (he is) (3rd/present continuous) /ced/
denying him or it	ᎤᏓᏱᎸᎢ	[ù:dahyilv̌:ʔi]  (he is) (3rd/remote past) /ced/
denying him or it	ᎠᏓᏱᎰᎢ	[à:dahyihó:ʔi]  (he is) (3rd/habitual) /ced/
denying him or it	ᎤᏓᏴᏍᏗ	[u:dayhsdi]  (he is) (3rd/deverbal) /ced/
destroying it	ᎠᏲᏍᏔᏃᎲᏍᎦ	[à:yó:stanóhv́sga]  (he or it is) (3rd/present continuous) /ced/
destroying it	ᏥᏲᏍᏔᏃᎲᏍᎦ	[jiyó:stanóhv́sga]  (he or it is) (1st/present continuous) /ced/
destroying it	ᎤᏲᏍᏔᏃᏅᎢ	[ù:yó:stanóhnv́:ʔi]  (he or it is) (3rd/remote past) /ced/
destroying it	ᎠᏲᏍᏔᏃᎲᏍᎪᎢ	[à:yó:stanóhv́sgó:ʔi]  (he or it is) (3rd/habitual) /ced/
destroying it	ᎯᏲᏍᏔᏃᎿ	[hiyò:stanohna]  (he or it is) (2nd/immediate) /ced/
destroying it	ᎤᏲᏍᏔᏃᎲᏍᏗ	[u:yò:stanóhv́sdi]  (he or it is) (3rd/deverbal) /ced/
devil	ᎠᏍᎩᎾ	[asgǐ:na]  (single noun) /ced/
devil	ᎠᏂᏍᎩᎾ	[ani:sgǐ:na]  (plural noun) /ced/
dewberries	ᎤᏠᏏᏅᏓ	[u:dlò:si:nv̌:da]  (single noun) /ced/
diamondback rattler	ᎤᎦᏑᏘ	[u:ksú:ti]  (single noun) /ced/
diamondback rattler	ᎤᎾᎦᏑᏘ	[u:naksú:ti]  (plural noun) /ced/
different	ᏄᏓᎴᎢ	[nǔ:dále̋:ʔi] (adj/adv) /ced/
different	ᏧᏓᎴᏅᏓ	[ju:dale:hnv̋:da] (adj/adv) /ced/
different	ᏧᎾᏓᎴᏅᏓ	[ju:nadale:hnv̋:da]  (plural adj/adv) /ced/
difficult	ᏍᏓᏯ	[sda̋:ya] (adj/adv) /ced/
difficult	ᏍᏓᏱ	[sda̋:yi] (adj/adv) /ced/
digging it	ᎠᏍᎪᏍᎦ	[à:sgǒ:sga]  (he is) (3rd/present continuous) /ced/
digging it	ᎦᏍᎪᏍᎦ	[gà:sgǒ:sga]  (he is) (1st/present continuous) /ced/
digging it	ᎤᏍᎪᏒᎢ	[ù:sgǒ:sv́:ʔi]  (he is) (3rd/remote past) /ced/
digging it	ᎠᏍᎪᏍᎪᎢ	[à:sgǒ:sgóʔi]  (he is) (3rd/habitual) /ced/
digging it	ᎭᏍᎪᎳ	[ha:sgǒ:la]  (he is) (2nd/immediate) /ced/
digging it	ᎤᏍᎪᏍᏗ	[u:sgǒ:sdi]  (he is) (3rd/deverbal) /ced/
dining table	ᎦᏍᎩᎶ ᎠᎵᏍᏓᏴᏗᎢ	[ga:sgilo a:lsdàyhdi̋:ʔi]  (single noun) /ced/
dipper	ᎠᎫᎩᏍᏗ	[akǔ:gi̋:sdi]  (single noun) /ced/
dipper	ᏗᎫᎩᏍᏗ	[di:kǔ:gi̋:sdi]  (plural noun) /ced/
dipping liquid	ᎠᎫᎩᎠ	[à:kǔ:gíʔa]  (he is) (3rd/present continuous) /ced/
dipping liquid	ᏥᎫᎩᎠ	[jigǔ:gíʔa]  (he is) (1st/present continuous) /ced/
dipping liquid	ᎤᎫᎩᏒᎢ	[ù:kǔ:gî:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
dipping liquid	ᎠᎫᎩᏍᎪᎢ	[à:kǔ:gî:sgó:ʔi]  (he is) (3rd/habitual) /ced/
dipping liquid	ᎯᎫᎩ	[hikǔ:gi]  (he is) (2nd/immediate) /ced/
dipping liquid	ᎤᎫᎩᏍᏗ	[u:kǔ:gî:sdi]  (he is) (3rd/deverbal) /ced/
dirty	ᎠᎦᏓᎭᎢ	[aga:da:ha̋:ʔi] (adj/adv)  (animate) /ced/
dirty	ᎠᏂᎦᏓᎭᎢ	[ani:ga:da:ha̋:ʔi]  (animate) (plural adj/adv) /ced/
dirty	ᎦᏓᎭᎢ	[ga:da:ha̋:ʔi] (adj/adv) /ced/
dirty	ᏗᎦᏓᎭᎢ	[diga:da:ha̋:ʔi]  (plural adj/adv) /ced/
disbelieving	ᎤᏜᏏᏛᎡᎭ	[ù:dlâ:si:tv́:ʔe:ha]  (he is) (3rd/present continuous) /ced/
disbelieving	ᎠᏆᏜᏏᏛᎡᎭ	[à:gwadlâ:si:tv́:ʔe:ha]  (he is) (1st/present continuous) /ced/
disbelieving	ᎤᏜᏏᏛᎡᎸᎢ	[ù:dlâ:si:tv́:ʔe:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
